Virus_Name	Variant	EPI_ISL_ID
hCoV-19/USA/WA-S16026/2021	Omicron	EPI_ISL_8822342
hCoV-19/USA/WA-S16015/2021	Omicron	EPI_ISL_8822331
hCoV-19/USA/WA-S16009/2021	Omicron	EPI_ISL_8822325
hCoV-19/USA/WA-S15999/2021	Omicron	EPI_ISL_8822315
hCoV-19/USA/WA-S16016/2021	Omicron	EPI_ISL_8822332
hCoV-19/USA/WA-S16030/2021	Omicron	EPI_ISL_8822346
hCoV-19/USA/WA-S16021/2021	Omicron	EPI_ISL_8822337
hCoV-19/USA/WA-S16029/2021	Omicron	EPI_ISL_8822345
hCoV-19/USA/WA-S16007/2021	Omicron	EPI_ISL_8822323
hCoV-19/USA/WA-S16011/2021	Omicron	EPI_ISL_8822327
hCoV-19/USA/WA-S16005/2021	Omicron	EPI_ISL_8822321
hCoV-19/USA/WA-S16023/2021	Omicron	EPI_ISL_8822339
hCoV-19/USA/WA-S16006/2021	Omicron	EPI_ISL_8822322
hCoV-19/USA/WA-S16025/2021	Omicron	EPI_ISL_8822341
hCoV-19/USA/WA-S16004/2021	Omicron	EPI_ISL_8822320
hCoV-19/USA/WA-S16014/2021	Omicron	EPI_ISL_8822330
hCoV-19/USA/WA-S16024/2021	Omicron	EPI_ISL_8822340
hCoV-19/USA/WA-S16019/2021	Omicron	EPI_ISL_8822335
hCoV-19/USA/WA-S16008/2021	Omicron	EPI_ISL_8822324
hCoV-19/USA/WA-S16020/2021	Omicron	EPI_ISL_8822336
hCoV-19/USA/WA-S16028/2021	Omicron	EPI_ISL_8822344
hCoV-19/USA/WA-S16010/2021	Omicron	EPI_ISL_8822326
hCoV-19/USA/WA-S16022/2021	Omicron	EPI_ISL_8822338
hCoV-19/USA/WA-S16031/2021	Omicron	EPI_ISL_8822347
hCoV-19/USA/WA-S16013/2021	Omicron	EPI_ISL_8822329
hCoV-19/USA/WA-S16027/2021	Omicron	EPI_ISL_8822343
hCoV-19/USA/WA-S16056/2022	Omicron	EPI_ISL_8822373
hCoV-19/USA/WA-S16062/2022	Omicron	EPI_ISL_8822379
hCoV-19/USA/WA-S16261/2022	Omicron	EPI_ISL_9060318
hCoV-19/USA/WA-S16054/2022	Omicron	EPI_ISL_8822371
hCoV-19/USA/WA-S16032/2022	Omicron	EPI_ISL_8822348
hCoV-19/USA/WA-S16061/2022	Omicron	EPI_ISL_8822378
hCoV-19/USA/WA-S16033/2022	Omicron	EPI_ISL_8822349
hCoV-19/USA/WA-S16049/2022	Omicron	EPI_ISL_8822366
hCoV-19/USA/WA-S16059/2022	Omicron	EPI_ISL_8822376
hCoV-19/USA/WA-S16042/2022	Omicron	EPI_ISL_8822359
hCoV-19/USA/WA-S16045/2022	Omicron	EPI_ISL_8822362
hCoV-19/USA/WA-S16043/2022	Omicron	EPI_ISL_8822360
hCoV-19/USA/WA-S16040/2022	Omicron	EPI_ISL_8822357
hCoV-19/USA/WA-S16038/2022	Omicron	EPI_ISL_8822355
hCoV-19/USA/WA-S16037/2022	Omicron	EPI_ISL_8822353
hCoV-19/USA/WA-S16053/2022	Omicron	EPI_ISL_8822370
hCoV-19/USA/WA-S16058/2022	Omicron	EPI_ISL_8822375
hCoV-19/USA/WA-S16044/2022	Omicron	EPI_ISL_8822361
hCoV-19/USA/WA-S16050/2022	Omicron	EPI_ISL_8822367
hCoV-19/USA/WA-S16052/2022	Omicron	EPI_ISL_8822369
hCoV-19/USA/WA-S16260/2022	Omicron	EPI_ISL_9060317
hCoV-19/USA/WA-S16055/2022	Omicron	EPI_ISL_8822372
hCoV-19/USA/WA-S16035/2022	Omicron	EPI_ISL_8822351
hCoV-19/USA/WA-S16041/2022	Omicron	EPI_ISL_8822358
hCoV-19/USA/WA-S16057/2022	Omicron	EPI_ISL_8822374
hCoV-19/USA/WA-S16036/2022	Omicron	EPI_ISL_8822352
hCoV-19/USA/WA-S16034/2022	Omicron	EPI_ISL_8822350
hCoV-19/USA/WA-S16039/2022	Omicron	EPI_ISL_8822356
hCoV-19/USA/WA-S16046/2022	Omicron	EPI_ISL_8822363
hCoV-19/USA/WA-S16051/2022	Omicron	EPI_ISL_8822368
hCoV-19/USA/WA-S16060/2022	Omicron	EPI_ISL_8822377
hCoV-19/USA/WA-S16047/2022	Omicron	EPI_ISL_8822364
hCoV-19/USA/WA-S16281/2022	Omicron	EPI_ISL_9060338
hCoV-19/USA/WA-S16291/2022	Omicron	EPI_ISL_9060347
hCoV-19/USA/WA-S16285/2022	Omicron	EPI_ISL_9060341
hCoV-19/USA/WA-S16275/2022	Omicron	EPI_ISL_9060332
hCoV-19/USA/WA-S16262/2022	Omicron	EPI_ISL_9060319
hCoV-19/USA/WA-S16298/2022	Omicron	EPI_ISL_9060354
hCoV-19/USA/WA-S16274/2022	Omicron	EPI_ISL_9060331
hCoV-19/USA/WA-S16273/2022	Omicron	EPI_ISL_9060330
hCoV-19/USA/WA-S16267/2022	Omicron	EPI_ISL_9060324
hCoV-19/USA/WA-S16299/2022	Omicron	EPI_ISL_9060355
hCoV-19/USA/WA-S16300/2022	Omicron	EPI_ISL_9060356
hCoV-19/USA/WA-S16286/2022	Omicron	EPI_ISL_9060342
hCoV-19/USA/WA-S16278/2022	Omicron	EPI_ISL_9060335
hCoV-19/USA/WA-S16265/2022	Omicron	EPI_ISL_9060322
hCoV-19/USA/WA-S16301/2022	Omicron	EPI_ISL_9060357
hCoV-19/USA/WA-S16306/2022	Omicron	EPI_ISL_9060362
hCoV-19/USA/WA-S16284/2022	Omicron	EPI_ISL_9060340
hCoV-19/USA/WA-S16297/2022	Omicron	EPI_ISL_9060353
hCoV-19/USA/WA-S16296/2022	Omicron	EPI_ISL_9060352
hCoV-19/USA/WA-S16293/2022	Omicron	EPI_ISL_9060349
hCoV-19/USA/WA-S16264/2022	Omicron	EPI_ISL_9060321
hCoV-19/USA/WA-S16307/2022	Omicron	EPI_ISL_9060363
hCoV-19/USA/WA-S16290/2022	Omicron	EPI_ISL_9060346
hCoV-19/USA/WA-S16289/2022	Omicron	EPI_ISL_9060345
hCoV-19/USA/WA-S16276/2022	Omicron	EPI_ISL_9060333
hCoV-19/USA/WA-S16272/2022	Omicron	EPI_ISL_9060329
hCoV-19/USA/WA-S16294/2022	Omicron	EPI_ISL_9060350
hCoV-19/USA/WA-S16288/2022	Omicron	EPI_ISL_9060344
hCoV-19/USA/WA-S16292/2022	Omicron	EPI_ISL_9060348
hCoV-19/USA/WA-S16269/2022	Omicron	EPI_ISL_9060326
hCoV-19/USA/WA-S16287/2022	Omicron	EPI_ISL_9060343
hCoV-19/USA/WA-S16282/2022	Omicron	EPI_ISL_9060339
hCoV-19/USA/WA-S16063/2022	Omicron	EPI_ISL_8822380
hCoV-19/USA/WA-S16263/2022	Omicron	EPI_ISL_9060320
hCoV-19/USA/WA-S16304/2022	Omicron	EPI_ISL_9060360
hCoV-19/USA/WA-S16303/2022	Omicron	EPI_ISL_9060359
hCoV-19/USA/WA-S16280/2022	Omicron	EPI_ISL_9060337
hCoV-19/USA/WA-S16271/2022	Omicron	EPI_ISL_9060328
hCoV-19/USA/WA-S16277/2022	Omicron	EPI_ISL_9060334
hCoV-19/USA/WA-S16279/2022	Omicron	EPI_ISL_9060336
hCoV-19/USA/WA-S16302/2022	Omicron	EPI_ISL_9060358
hCoV-19/USA/WA-S16349/2022	Omicron	EPI_ISL_9060405
hCoV-19/USA/WA-S16416/2022	Omicron	EPI_ISL_9060472
hCoV-19/USA/WA-S16324/2022	Omicron	EPI_ISL_9060380
hCoV-19/USA/WA-S16334/2022	Omicron	EPI_ISL_9060390
hCoV-19/USA/WA-S16354/2022	Omicron	EPI_ISL_9060410
hCoV-19/USA/WA-S16325/2022	Omicron	EPI_ISL_9060381
hCoV-19/USA/WA-S16392/2022	Omicron	EPI_ISL_9060448
hCoV-19/USA/WA-S16353/2022	Omicron	EPI_ISL_9060409
hCoV-19/USA/WA-S16313/2022	Omicron	EPI_ISL_9060369
hCoV-19/USA/WA-S16319/2022	Omicron	EPI_ISL_9060375
hCoV-19/USA/WA-S16351/2022	Omicron	EPI_ISL_9060407
hCoV-19/USA/WA-S16348/2022	Omicron	EPI_ISL_9060404
hCoV-19/USA/WA-S16389/2022	Omicron	EPI_ISL_9060445
hCoV-19/USA/WA-S16341/2022	Omicron	EPI_ISL_9060397
hCoV-19/USA/WA-S16399/2022	Omicron	EPI_ISL_9060455
hCoV-19/USA/WA-S16340/2022	Omicron	EPI_ISL_9060396
hCoV-19/USA/WA-S16330/2022	Omicron	EPI_ISL_9060386
hCoV-19/USA/WA-S16317/2022	Omicron	EPI_ISL_9060373
hCoV-19/USA/WA-S16310/2022	Omicron	EPI_ISL_9060366
hCoV-19/USA/WA-S16393/2022	Omicron	EPI_ISL_9060449
hCoV-19/USA/WA-S16326/2022	Omicron	EPI_ISL_9060382
hCoV-19/USA/WA-S16350/2022	Omicron	EPI_ISL_9060406
hCoV-19/USA/WA-S16322/2022	Omicron	EPI_ISL_9060378
hCoV-19/USA/WA-S16316/2022	Omicron	EPI_ISL_9060372
hCoV-19/USA/WA-S16338/2022	Omicron	EPI_ISL_9060394
hCoV-19/USA/WA-S16397/2022	Omicron	EPI_ISL_9060453
hCoV-19/USA/WA-S16414/2022	Omicron	EPI_ISL_9060470
hCoV-19/USA/WA-S16347/2022	Omicron	EPI_ISL_9060403
hCoV-19/USA/WA-S16345/2022	Omicron	EPI_ISL_9060401
hCoV-19/USA/WA-S16394/2022	Omicron	EPI_ISL_9060450
hCoV-19/USA/WA-S16355/2022	Omicron	EPI_ISL_9060411
hCoV-19/USA/WA-S16396/2022	Omicron	EPI_ISL_9060452
hCoV-19/USA/WA-S16329/2022	Omicron	EPI_ISL_9060385
hCoV-19/USA/WA-S16339/2022	Omicron	EPI_ISL_9060395
hCoV-19/USA/WA-S16413/2022	Omicron	EPI_ISL_9060469
hCoV-19/USA/WA-S16336/2022	Omicron	EPI_ISL_9060392
hCoV-19/USA/WA-S16343/2022	Omicron	EPI_ISL_9060399
hCoV-19/USA/WA-S16295/2022	Omicron	EPI_ISL_9060351
hCoV-19/USA/WA-S16415/2022	Omicron	EPI_ISL_9060471
hCoV-19/USA/WA-S16321/2022	Omicron	EPI_ISL_9060377
hCoV-19/USA/WA-S16390/2022	Omicron	EPI_ISL_9060446
hCoV-19/USA/WA-S16545/2022	Omicron	EPI_ISL_9271749
hCoV-19/USA/WA-S16418/2022	Omicron	EPI_ISL_9060474
hCoV-19/USA/WA-S16544/2022	Omicron	EPI_ISL_9271748
hCoV-19/USA/WA-S16305/2022	Omicron	EPI_ISL_9060361
hCoV-19/USA/WA-S16314/2022	Omicron	EPI_ISL_9060370
hCoV-19/USA/WA-S16356/2022	Omicron	EPI_ISL_9060412
hCoV-19/USA/WA-S16335/2022	Omicron	EPI_ISL_9060391
hCoV-19/USA/WA-S16381/2022	Omicron	EPI_ISL_9060437
hCoV-19/USA/WA-S16417/2022	Omicron	EPI_ISL_9060473
hCoV-19/USA/WA-S16395/2022	Omicron	EPI_ISL_9060451
hCoV-19/USA/WA-S16331/2022	Omicron	EPI_ISL_9060387
hCoV-19/USA/WA-S16332/2022	Omicron	EPI_ISL_9060388
hCoV-19/USA/WA-S16318/2022	Omicron	EPI_ISL_9060374
hCoV-19/USA/WA-S16400/2022	Omicron	EPI_ISL_9060456
hCoV-19/USA/WA-S16546/2022	Omicron	EPI_ISL_9271750
hCoV-19/USA/WA-S16344/2022	Omicron	EPI_ISL_9060400
hCoV-19/USA/WA-S16323/2022	Omicron	EPI_ISL_9060379
hCoV-19/USA/WA-S16342/2022	Omicron	EPI_ISL_9060398
hCoV-19/USA/WA-S16382/2022	Omicron	EPI_ISL_9060438
hCoV-19/USA/WA-S16346/2022	Omicron	EPI_ISL_9060402
hCoV-19/USA/WA-S16315/2022	Omicron	EPI_ISL_9060371
hCoV-19/USA/WA-S16328/2022	Omicron	EPI_ISL_9060384
hCoV-19/USA/WA-S16320/2022	Omicron	EPI_ISL_9060376
hCoV-19/USA/WA-S16337/2022	Omicron	EPI_ISL_9060393
hCoV-19/USA/WA-S16308/2022	Omicron	EPI_ISL_9060364
hCoV-19/USA/WA-S16327/2022	Omicron	EPI_ISL_9060383
hCoV-19/USA/WA-S16391/2022	Omicron	EPI_ISL_9060447
hCoV-19/USA/WA-S16606/2022	Omicron	EPI_ISL_9271810
hCoV-19/USA/WA-S16333/2022	Omicron	EPI_ISL_9060389
hCoV-19/USA/WA-S16398/2022	Omicron	EPI_ISL_9060454
hCoV-19/USA/WA-S16312/2022	Omicron	EPI_ISL_9060368
hCoV-19/USA/WA-S16309/2022	Omicron	EPI_ISL_9060365
hCoV-19/USA/WA-S16388/2022	Omicron	EPI_ISL_9060444
hCoV-19/USA/WA-S16352/2022	Omicron	EPI_ISL_9060408
hCoV-19/USA/WA-S16596/2022	Omicron	EPI_ISL_9271801
hCoV-19/USA/WA-S16562/2022	Omicron	EPI_ISL_9271766
hCoV-19/USA/WA-S16696/2022	Omicron	EPI_ISL_9271899
hCoV-19/USA/WA-S16598/2022	Omicron	EPI_ISL_9271803
hCoV-19/USA/WA-S16567/2022	Omicron	EPI_ISL_9271771
hCoV-19/USA/WA-S16386/2022	Omicron	EPI_ISL_9060442
hCoV-19/USA/WA-S16409/2022	Omicron	EPI_ISL_9060465
hCoV-19/USA/WA-S16421/2022	Omicron	EPI_ISL_9060477
hCoV-19/USA/WA-S16407/2022	Omicron	EPI_ISL_9060463
hCoV-19/USA/WA-S16486/2022	Omicron	EPI_ISL_9060542
hCoV-19/USA/WA-S16532/2022	Omicron	EPI_ISL_9060588
hCoV-19/USA/WA-S16405/2022	Omicron	EPI_ISL_9060461
hCoV-19/USA/WA-S16692/2022	Omicron	EPI_ISL_9271895
hCoV-19/USA/WA-S16422/2022	Omicron	EPI_ISL_9060478
hCoV-19/USA/WA-S16420/2022	Omicron	EPI_ISL_9060476
hCoV-19/USA/WA-S16490/2022	Omicron	EPI_ISL_9060546
hCoV-19/USA/WA-S16387/2022	Omicron	EPI_ISL_9060443
hCoV-19/USA/WA-S16380/2022	Omicron	EPI_ISL_9060436
hCoV-19/USA/WA-S16497/2022	Omicron	EPI_ISL_9060553
hCoV-19/USA/WA-S16707/2022	Omicron	EPI_ISL_9271910
hCoV-19/USA/WA-S16491/2022	Omicron	EPI_ISL_9060547
hCoV-19/USA/WA-S16410/2022	Omicron	EPI_ISL_9060466
hCoV-19/USA/WA-S16697/2022	Omicron	EPI_ISL_9271900
hCoV-19/USA/WA-S16404/2022	Omicron	EPI_ISL_9060460
hCoV-19/USA/WA-S16423/2022	Omicron	EPI_ISL_9060479
hCoV-19/USA/WA-S16502/2022	Omicron	EPI_ISL_9060558
hCoV-19/USA/WA-S16498/2022	Omicron	EPI_ISL_9060554
hCoV-19/USA/WA-S16782/2022	Omicron	EPI_ISL_9271984
hCoV-19/USA/WA-S16419/2022	Omicron	EPI_ISL_9060475
hCoV-19/USA/WA-S16384/2022	Omicron	EPI_ISL_9060440
hCoV-19/USA/WA-S16411/2022	Omicron	EPI_ISL_9060467
hCoV-19/USA/WA-S16775/2022	Omicron	EPI_ISL_9271977
hCoV-19/USA/WA-S16704/2022	Omicron	EPI_ISL_9271907
hCoV-19/USA/WA-S16503/2022	Omicron	EPI_ISL_9060559
hCoV-19/USA/WA-S16379/2022	Omicron	EPI_ISL_9060435
hCoV-19/USA/WA-S16408/2022	Omicron	EPI_ISL_9060464
hCoV-19/USA/WA-S16485/2022	Omicron	EPI_ISL_9060541
hCoV-19/USA/WA-S16712/2022	Omicron	EPI_ISL_9271915
hCoV-19/USA/WA-S16479/2022	Omicron	EPI_ISL_9060535
hCoV-19/USA/WA-S16605/2022	Omicron	EPI_ISL_9271809
hCoV-19/USA/WA-S16401/2022	Omicron	EPI_ISL_9060457
hCoV-19/USA/WA-S16698/2022	Omicron	EPI_ISL_9271901
hCoV-19/USA/WA-S16475/2022	Omicron	EPI_ISL_9060531
hCoV-19/USA/WA-S16690/2022	Omicron	EPI_ISL_9271893
hCoV-19/USA/WA-S16599/2022	Omicron	EPI_ISL_9271804
hCoV-19/USA/WA-S16478/2022	Omicron	EPI_ISL_9060534
hCoV-19/USA/WA-S16702/2022	Omicron	EPI_ISL_9271905
hCoV-19/USA/WA-S16574/2022	Omicron	EPI_ISL_9271778
hCoV-19/USA/WA-S16493/2022	Omicron	EPI_ISL_9060549
hCoV-19/USA/WA-S16695/2022	Omicron	EPI_ISL_9271898
hCoV-19/USA/WA-S16489/2022	Omicron	EPI_ISL_9060545
hCoV-19/USA/WA-S16703/2022	Omicron	EPI_ISL_9271906
hCoV-19/USA/WA-S16383/2022	Omicron	EPI_ISL_9060439
hCoV-19/USA/WA-S16501/2022	Omicron	EPI_ISL_9060557
hCoV-19/USA/WA-S16603/2022	Omicron	EPI_ISL_9271808
hCoV-19/USA/WA-S16402/2022	Omicron	EPI_ISL_9060458
hCoV-19/USA/WA-S16487/2022	Omicron	EPI_ISL_9060543
hCoV-19/USA/WA-S16494/2022	Omicron	EPI_ISL_9060550
hCoV-19/USA/WA-S16481/2022	Omicron	EPI_ISL_9060537
hCoV-19/USA/WA-S16480/2022	Omicron	EPI_ISL_9060536
hCoV-19/USA/WA-S16749/2022	Omicron	EPI_ISL_9271952
hCoV-19/USA/WA-S16711/2022	Omicron	EPI_ISL_9271914
hCoV-19/USA/WA-S16500/2022	Omicron	EPI_ISL_9060556
hCoV-19/USA/WA-S16495/2022	Omicron	EPI_ISL_9060551
hCoV-19/USA/WA-S16779/2022	Omicron	EPI_ISL_9271981
hCoV-19/USA/WA-S16488/2022	Omicron	EPI_ISL_9060544
hCoV-19/USA/WA-S16784/2022	Omicron	EPI_ISL_9271986
hCoV-19/USA/WA-S16700/2022	Omicron	EPI_ISL_9271903
hCoV-19/USA/WA-S16492/2022	Omicron	EPI_ISL_9060548
hCoV-19/USA/WA-S16482/2022	Omicron	EPI_ISL_9060538
hCoV-19/USA/WA-S16484/2022	Omicron	EPI_ISL_9060540
hCoV-19/USA/WA-S16483/2022	Omicron	EPI_ISL_9060539
hCoV-19/USA/WA-S16477/2022	Omicron	EPI_ISL_9060533
hCoV-19/USA/WA-S16708/2022	Omicron	EPI_ISL_9271911
hCoV-19/USA/WA-S16710/2022	Omicron	EPI_ISL_9271913
hCoV-19/USA/WA-S16737/2022	Omicron	EPI_ISL_9271940
hCoV-19/USA/WA-S16788/2022	Omicron	EPI_ISL_9271990
hCoV-19/USA/WA-S16403/2022	Omicron	EPI_ISL_9060459
hCoV-19/USA/WA-S16412/2022	Omicron	EPI_ISL_9060468
hCoV-19/USA/WA-S16706/2022	Omicron	EPI_ISL_9271909
hCoV-19/USA/WA-S16496/2022	Omicron	EPI_ISL_9060552
hCoV-19/USA/WA-S16406/2022	Omicron	EPI_ISL_9060462
hCoV-19/USA/WA-S16609/2022	Omicron	EPI_ISL_9271813
hCoV-19/USA/WA-S16533/2022	Omicron	EPI_ISL_9060589
hCoV-19/USA/WA-S16608/2022	Omicron	EPI_ISL_9271812
hCoV-19/USA/WA-S16699/2022	Omicron	EPI_ISL_9271902
hCoV-19/USA/WA-S16499/2022	Omicron	EPI_ISL_9060555
hCoV-19/USA/WA-S16701/2022	Omicron	EPI_ISL_9271904
hCoV-19/USA/WA-S16705/2022	Omicron	EPI_ISL_9271908
hCoV-19/USA/WA-S16720/2022	Omicron	EPI_ISL_9271923
hCoV-19/USA/WA-S16651/2022	Omicron	EPI_ISL_9271855
hCoV-19/USA/WA-S16709/2022	Omicron	EPI_ISL_9271912
hCoV-19/USA/WA-S16694/2022	Omicron	EPI_ISL_9271897
hCoV-19/USA/WA-S16644/2022	Omicron	EPI_ISL_9271848
hCoV-19/USA/WA-S16670/2022	Omicron	EPI_ISL_9271874
hCoV-19/USA/WA-S16666/2022	Omicron	EPI_ISL_9271870
hCoV-19/USA/WA-S16689/2022	Omicron	EPI_ISL_9271892
hCoV-19/USA/WA-S16639/2022	Omicron	EPI_ISL_9271843
hCoV-19/USA/WA-S16680/2022	Omicron	EPI_ISL_9271884
hCoV-19/USA/WA-S16731/2022	Omicron	EPI_ISL_9271934
hCoV-19/USA/WA-S16658/2022	Omicron	EPI_ISL_9271862
hCoV-19/USA/WA-S16636/2022	Omicron	EPI_ISL_9271840
hCoV-19/USA/WA-S16740/2022	Omicron	EPI_ISL_9271943
hCoV-19/USA/WA-S16652/2022	Omicron	EPI_ISL_9271856
hCoV-19/USA/WA-S16631/2022	Omicron	EPI_ISL_9271835
hCoV-19/USA/WA-S16677/2022	Omicron	EPI_ISL_9271881
hCoV-19/USA/WA-S16723/2022	Omicron	EPI_ISL_9271926
hCoV-19/USA/WA-S16643/2022	Omicron	EPI_ISL_9271847
hCoV-19/USA/WA-S16685/2022	Omicron	EPI_ISL_9271888
hCoV-19/USA/WA-S16602/2022	Omicron	EPI_ISL_9271807
hCoV-19/USA/WA-S16714/2022	Omicron	EPI_ISL_9271917
hCoV-19/USA/WA-S16645/2022	Omicron	EPI_ISL_9271849
hCoV-19/USA/WA-S16687/2022	Omicron	EPI_ISL_9271890
hCoV-19/USA/WA-S16729/2022	Omicron	EPI_ISL_9271932
hCoV-19/USA/WA-S16726/2022	Omicron	EPI_ISL_9271929
hCoV-19/USA/WA-S16939/2022	Omicron	EPI_ISL_9346759
hCoV-19/USA/WA-S16656/2022	Omicron	EPI_ISL_9271860
hCoV-19/USA/WA-S16668/2022	Omicron	EPI_ISL_9271872
hCoV-19/USA/WA-S16647/2022	Omicron	EPI_ISL_9271851
hCoV-19/USA/WA-S16718/2022	Omicron	EPI_ISL_9271921
hCoV-19/USA/WA-S16755/2022	Omicron	EPI_ISL_9271958
hCoV-19/USA/WA-S16657/2022	Omicron	EPI_ISL_9271861
hCoV-19/USA/WA-S16713/2022	Omicron	EPI_ISL_9271916
hCoV-19/USA/WA-S16662/2022	Omicron	EPI_ISL_9271866
hCoV-19/USA/WA-S16686/2022	Omicron	EPI_ISL_9271889
hCoV-19/USA/WA-S16655/2022	Omicron	EPI_ISL_9271859
hCoV-19/USA/WA-S16722/2022	Omicron	EPI_ISL_9271925
hCoV-19/USA/WA-S16642/2022	Omicron	EPI_ISL_9271846
hCoV-19/USA/WA-S16673/2022	Omicron	EPI_ISL_9271877
hCoV-19/USA/WA-S16716/2022	Omicron	EPI_ISL_9271919
hCoV-19/USA/WA-S16691/2022	Omicron	EPI_ISL_9271894
hCoV-19/USA/WA-S16746/2022	Omicron	EPI_ISL_9271949
hCoV-19/USA/WA-S16665/2022	Omicron	EPI_ISL_9271869
hCoV-19/USA/WA-S16635/2022	Omicron	EPI_ISL_9271839
hCoV-19/USA/WA-S16735/2022	Omicron	EPI_ISL_9271938
hCoV-19/USA/WA-S16653/2022	Omicron	EPI_ISL_9271857
hCoV-19/USA/WA-S16661/2022	Omicron	EPI_ISL_9271865
hCoV-19/USA/WA-S16684/2022	Omicron	EPI_ISL_9271887
hCoV-19/USA/WA-S16734/2022	Omicron	EPI_ISL_9271937
hCoV-19/USA/WA-S16641/2022	Omicron	EPI_ISL_9271845
hCoV-19/USA/WA-S16675/2022	Omicron	EPI_ISL_9271879
hCoV-19/USA/WA-S16727/2022	Omicron	EPI_ISL_9271930
hCoV-19/USA/WA-S16630/2022	Omicron	EPI_ISL_9271834
hCoV-19/USA/WA-S16672/2022	Omicron	EPI_ISL_9271876
hCoV-19/USA/WA-S16773/2022	Omicron	EPI_ISL_9271975
hCoV-19/USA/WA-S16650/2022	Omicron	EPI_ISL_9271854
hCoV-19/USA/WA-S16724/2022	Omicron	EPI_ISL_9271927
hCoV-19/USA/WA-S16640/2022	Omicron	EPI_ISL_9271844
hCoV-19/USA/WA-S16936/2022	Omicron	EPI_ISL_9346756
hCoV-19/USA/WA-S16671/2022	Omicron	EPI_ISL_9271875
hCoV-19/USA/WA-S16638/2022	Omicron	EPI_ISL_9271842
hCoV-19/USA/WA-S16715/2022	Omicron	EPI_ISL_9271918
hCoV-19/USA/WA-S16679/2022	Omicron	EPI_ISL_9271883
hCoV-19/USA/WA-S16772/2022	Omicron	EPI_ISL_9271974
hCoV-19/USA/WA-S16771/2022	Omicron	EPI_ISL_9271973
hCoV-19/USA/WA-S16634/2022	Omicron	EPI_ISL_9271838
hCoV-19/USA/WA-S16738/2022	Omicron	EPI_ISL_9271941
hCoV-19/USA/WA-S16693/2022	Omicron	EPI_ISL_9271896
hCoV-19/USA/WA-S16736/2022	Omicron	EPI_ISL_9271939
hCoV-19/USA/WA-S16637/2022	Omicron	EPI_ISL_9271841
hCoV-19/USA/WA-S16654/2022	Omicron	EPI_ISL_9271858
hCoV-19/USA/WA-S16676/2022	Omicron	EPI_ISL_9271880
hCoV-19/USA/WA-S16742/2022	Omicron	EPI_ISL_9271945
hCoV-19/USA/WA-S16659/2022	Omicron	EPI_ISL_9271863
hCoV-19/USA/WA-S16725/2022	Omicron	EPI_ISL_9271928
hCoV-19/USA/WA-S16646/2022	Omicron	EPI_ISL_9271850
hCoV-19/USA/WA-S16717/2022	Omicron	EPI_ISL_9271920
hCoV-19/USA/WA-S16601/2022	Omicron	EPI_ISL_9271806
hCoV-19/USA/WA-S16758/2022	Omicron	EPI_ISL_9271960
hCoV-19/USA/WA-S16789/2022	Omicron	EPI_ISL_9271991
hCoV-19/USA/WA-S16600/2022	Omicron	EPI_ISL_9271805
hCoV-19/USA/WA-S16607/2022	Omicron	EPI_ISL_9271811
hCoV-19/USA/WA-S16938/2022	Omicron	EPI_ISL_9346758
hCoV-19/USA/WA-S16935/2022	Omicron	EPI_ISL_9346755
hCoV-19/USA/WA-S16732/2022	Omicron	EPI_ISL_9271935
hCoV-19/USA/WA-S16741/2022	Omicron	EPI_ISL_9271944
hCoV-19/USA/WA-S16664/2022	Omicron	EPI_ISL_9271868
hCoV-19/USA/WA-S16719/2022	Omicron	EPI_ISL_9271922
hCoV-19/USA/WA-S16629/2022	Omicron	EPI_ISL_9271833
hCoV-19/USA/WA-S16940/2022	Omicron	EPI_ISL_9346760
hCoV-19/USA/WA-S16777/2022	Omicron	EPI_ISL_9271979
hCoV-19/USA/WA-S16632/2022	Omicron	EPI_ISL_9271836
hCoV-19/USA/WA-S16663/2022	Omicron	EPI_ISL_9271867
hCoV-19/USA/WA-S16667/2022	Omicron	EPI_ISL_9271871
hCoV-19/USA/WA-S16688/2022	Omicron	EPI_ISL_9271891
hCoV-19/USA/WA-S16678/2022	Omicron	EPI_ISL_9271882
hCoV-19/USA/WA-S16682/2022	Omicron	EPI_ISL_9271885
hCoV-19/USA/WA-S16669/2022	Omicron	EPI_ISL_9271873
hCoV-19/USA/WA-S16633/2022	Omicron	EPI_ISL_9271837
hCoV-19/USA/WA-S16739/2022	Omicron	EPI_ISL_9271942
hCoV-19/USA/WA-S16649/2022	Omicron	EPI_ISL_9271853
hCoV-19/USA/WA-S16730/2022	Omicron	EPI_ISL_9271933
hCoV-19/USA/WA-S16683/2022	Omicron	EPI_ISL_9271886
hCoV-19/USA/WA-S16660/2022	Omicron	EPI_ISL_9271864
hCoV-19/USA/WA-S16721/2022	Omicron	EPI_ISL_9271924
hCoV-19/USA/WA-S16743/2022	Omicron	EPI_ISL_9271946
hCoV-19/USA/WA-S16928/2022	Omicron	EPI_ISL_9346748
hCoV-19/USA/WA-S16929/2022	Omicron	EPI_ISL_9346749
hCoV-19/USA/WA-S16806/2022	Omicron	EPI_ISL_9272008
hCoV-19/USA/WA-S16801/2022	Omicron	EPI_ISL_9272003
hCoV-19/USA/WA-S16920/2022	Omicron	EPI_ISL_9346740
hCoV-19/USA/WA-S16805/2022	Omicron	EPI_ISL_9272007
hCoV-19/USA/WA-S16812/2022	Omicron	EPI_ISL_9272014
